age,sex,acmr,disability_rate,income,income_death,acmr_apc,expenditure_rate,expenditure_rate_death
0,female,0.009454061,0.026796926,0,0,-0.042956269,0,0
0,male,0.011210984,0.029125667,0,0,-0.045183948,0,0
1,female,0.001011729,0.034984448,0,0,0,0,0
1,male,0.001126092,0.035041357,0,0,0,0,0
2,female,0.000168237,0.038332959,0,0,0,0,0
2,male,0.000209185,0.036140071,0,0,0,0,0
3,female,0.000168237,0.038332959,0,0,0,0,0
3,male,0.000209185,0.036140071,0,0,0,0,0
4,female,0.000168237,0.038332959,0,0,0,0,0
4,male,0.000209185,0.036140071,0,0,0,0,0
5,female,0.000177296,0.04919043,0,0,-0.024818435,0,0
5,male,0.000205857,0.040334778,0,0,-0.026167832,0,0
6,female,0.000177296,0.04919043,0,0,-0.024818435,0,0
6,male,0.000205857,0.040334778,0,0,-0.026167832,0,0
7,female,0.000177296,0.04919043,0,0,-0.024818435,0,0
7,male,0.000205857,0.040334778,0,0,-0.026167832,0,0
8,female,0.000177296,0.04919043,0,0,-0.024818435,0,0
8,male,0.000205857,0.040334778,0,0,-0.026167832,0,0
9,female,0.000177296,0.04919043,0,0,-0.024818435,0,0
9,male,0.000205857,0.040334778,0,0,-0.026167832,0,0
10,female,0.000208292,0.076512148,0,0,-0.013868029,0,0
10,male,0.000277965,0.05605647,0,0,-0.015992335,0,0
11,female,0.000208292,0.076512148,0,0,-0.013868029,0,0
11,male,0.000277965,0.05605647,0,0,-0.015992335,0,0
12,female,0.000208292,0.076512148,0,0,-0.013868029,0,0
12,male,0.000277965,0.05605647,0,0,-0.015992335,0,0
13,female,0.000208292,0.076512148,0,0,-0.013868029,0,0
13,male,0.000277965,0.05605647,0,0,-0.015992335,0,0
14,female,0.000208292,0.076512148,0,0,-0.013868029,0,0
14,male,0.000277965,0.05605647,0,0,-0.015992335,0,0
15,female,0.000444106,0.10352472,0,0,-0.007102409,0,0
15,male,0.001450931,0.071906211,0,0,0.007320255,0,0
16,female,0.000444106,0.10352472,0,0,-0.007102409,0,0
16,male,0.001450931,0.071906211,0,0,0.007320255,0,0
17,female,0.000444106,0.10352472,0,0,-0.007102409,0,0
17,male,0.001450931,0.071906211,0,0,0.007320255,0,0
18,female,0.000444106,0.10352472,0,0,-0.007102409,0,0
18,male,0.001450931,0.071906211,0,0,0.007320255,0,0
19,female,0.000444106,0.10352472,0,0,-0.007102409,0,0
19,male,0.001450931,0.071906211,0,0,0.007320255,0,0
20,female,0.000624231,0.12394729,0,0,-0.010273554,0,0
20,male,0.002388347,0.083772217,0,0,0.00023229,0,0
21,female,0.000624231,0.12394729,0,0,-0.010273554,0,0
21,male,0.002388347,0.083772217,0,0,0.00023229,0,0
22,female,0.000624231,0.12394729,0,0,-0.010273554,0,0
22,male,0.002388347,0.083772217,0,0,0.00023229,0,0
23,female,0.000624231,0.12394729,0,0,-0.010273554,0,0
23,male,0.002388347,0.083772217,0,0,0.00023229,0,0
24,female,0.000624231,0.12394729,0,0,-0.010273554,0,0
24,male,0.002388347,0.083772217,0,0,0.00023229,0,0
25,female,0.000849392,0.13784782,0,0,-0.013140747,0,0
25,male,0.002542992,0.094119775,0,0,-0.008391709,0,0
26,female,0.000849392,0.13784782,0,0,-0.013140747,0,0
26,male,0.002542992,0.094119775,0,0,-0.008391709,0,0
27,female,0.000849392,0.13784782,0,0,-0.013140747,0,0
27,male,0.002542992,0.094119775,0,0,-0.008391709,0,0
28,female,0.000849392,0.13784782,0,0,-0.013140747,0,0
28,male,0.002542992,0.094119775,0,0,-0.008391709,0,0
29,female,0.000849392,0.13784782,0,0,-0.013140747,0,0
29,male,0.002542992,0.094119775,0,0,-0.008391709,0,0
30,female,0.001190245,0.1481424,0,0,-0.012886642,0,0
30,male,0.002911725,0.10297903,0,0,-0.013569615,0,0
31,female,0.001190245,0.1481424,0,0,-0.012886642,0,0
31,male,0.002911725,0.10297903,0,0,-0.013569615,0,0
32,female,0.001190245,0.1481424,0,0,-0.012886642,0,0
32,male,0.002911725,0.10297903,0,0,-0.013569615,0,0
33,female,0.001190245,0.1481424,0,0,-0.012886642,0,0
33,male,0.002911725,0.10297903,0,0,-0.013569615,0,0
34,female,0.001190245,0.1481424,0,0,-0.012886642,0,0
34,male,0.002911725,0.10297903,0,0,-0.013569615,0,0
35,female,0.001761779,0.15917885,0,0,-0.012244326,0,0
35,male,0.003729444,0.1124855,0,0,-0.015165155,0,0
36,female,0.001761779,0.15917885,0,0,-0.012244326,0,0
36,male,0.003729444,0.1124855,0,0,-0.015165155,0,0
37,female,0.001761779,0.15917885,0,0,-0.012244326,0,0
37,male,0.003729444,0.1124855,0,0,-0.015165155,0,0
38,female,0.001761779,0.15917885,0,0,-0.012244326,0,0
38,male,0.003729444,0.1124855,0,0,-0.015165155,0,0
39,female,0.001761779,0.15917885,0,0,-0.012244326,0,0
39,male,0.003729444,0.1124855,0,0,-0.015165155,0,0
40,female,0.002615658,0.17024127,0,0,-0.012527318,0,0
40,male,0.00505522,0.12539835,0,0,-0.014904049,0,0
41,female,0.002615658,0.17024127,0,0,-0.012527318,0,0
41,male,0.00505522,0.12539835,0,0,-0.014904049,0,0
42,female,0.002615658,0.17024127,0,0,-0.012527318,0,0
42,male,0.00505522,0.12539835,0,0,-0.014904049,0,0
43,female,0.002615658,0.17024127,0,0,-0.012527318,0,0
43,male,0.00505522,0.12539835,0,0,-0.014904049,0,0
44,female,0.002615658,0.17024127,0,0,-0.012527318,0,0
44,male,0.00505522,0.12539835,0,0,-0.014904049,0,0
45,female,0.003903222,0.17962193,0,0,-0.012079465,0,0
45,male,0.007205639,0.14330387,0,0,-0.013129006,0,0
46,female,0.003903222,0.17962193,0,0,-0.012079465,0,0
46,male,0.007205639,0.14330387,0,0,-0.013129006,0,0
47,female,0.003903222,0.17962193,0,0,-0.012079465,0,0
47,male,0.007205639,0.14330387,0,0,-0.013129006,0,0
48,female,0.003903222,0.17962193,0,0,-0.012079465,0,0
48,male,0.007205639,0.14330387,0,0,-0.013129006,0,0
49,female,0.003903222,0.17962193,0,0,-0.012079465,0,0
49,male,0.007205639,0.14330387,0,0,-0.013129006,0,0
50,female,0.005624871,0.1911891,0,0,-0.012673723,0,0
50,male,0.01026123,0.16239152,0,0,-0.011952617,0,0
51,female,0.005624871,0.1911891,0,0,-0.012673723,0,0
51,male,0.01026123,0.16239152,0,0,-0.011952617,0,0
52,female,0.005624871,0.1911891,0,0,-0.012673723,0,0
52,male,0.01026123,0.16239152,0,0,-0.011952617,0,0
53,female,0.005624871,0.1911891,0,0,-0.012673723,0,0
53,male,0.01026123,0.16239152,0,0,-0.011952617,0,0
54,female,0.005624871,0.1911891,0,0,-0.012673723,0,0
54,male,0.01026123,0.16239152,0,0,-0.011952617,0,0
55,female,0.008440773,0.20607412,0,0,-0.011817217,0,0
55,male,0.014905724,0.1806991,0,0,-0.011097377,0,0
56,female,0.008440773,0.20607412,0,0,-0.011817217,0,0
56,male,0.014905724,0.1806991,0,0,-0.011097377,0,0
57,female,0.008440773,0.20607412,0,0,-0.011817217,0,0
57,male,0.014905724,0.1806991,0,0,-0.011097377,0,0
58,female,0.008440773,0.20607412,0,0,-0.011817217,0,0
58,male,0.014905724,0.1806991,0,0,-0.011097377,0,0
59,female,0.008440773,0.20607412,0,0,-0.011817217,0,0
59,male,0.014905724,0.1806991,0,0,-0.011097377,0,0
60,female,0.012273286,0.22345178,0,0,-0.011499409,0,0
60,male,0.020944509,0.20072244,0,0,-0.010329094,0,0
61,female,0.012273286,0.22345178,0,0,-0.011499409,0,0
61,male,0.020944509,0.20072244,0,0,-0.010329094,0,0
62,female,0.012273286,0.22345178,0,0,-0.011499409,0,0
62,male,0.020944509,0.20072244,0,0,-0.010329094,0,0
63,female,0.012273286,0.22345178,0,0,-0.011499409,0,0
63,male,0.020944509,0.20072244,0,0,-0.010329094,0,0
64,female,0.012273286,0.22345178,0,0,-0.011499409,0,0
64,male,0.020944509,0.20072244,0,0,-0.010329094,0,0
65,female,0.018342664,0.24320236,0,0,-0.011010669,0,0
65,male,0.030527273,0.22504383,0,0,-0.010118891,0,0
66,female,0.018342664,0.24320236,0,0,-0.011010669,0,0
66,male,0.030527273,0.22504383,0,0,-0.010118891,0,0
67,female,0.018342664,0.24320236,0,0,-0.011010669,0,0
67,male,0.030527273,0.22504383,0,0,-0.010118891,0,0
68,female,0.018342664,0.24320236,0,0,-0.011010669,0,0
68,male,0.030527273,0.22504383,0,0,-0.010118891,0,0
69,female,0.018342664,0.24320236,0,0,-0.011010669,0,0
69,male,0.030527273,0.22504383,0,0,-0.010118891,0,0
70,female,0.026799219,0.26569943,0,0,-0.011778552,0,0
70,male,0.042460464,0.25216328,0,0,-0.009978814,0,0
71,female,0.026799219,0.26569943,0,0,-0.011778552,0,0
71,male,0.042460464,0.25216328,0,0,-0.009978814,0,0
72,female,0.026799219,0.26569943,0,0,-0.011778552,0,0
72,male,0.042460464,0.25216328,0,0,-0.009978814,0,0
73,female,0.026799219,0.26569943,0,0,-0.011778552,0,0
73,male,0.042460464,0.25216328,0,0,-0.009978814,0,0
74,female,0.026799219,0.26569943,0,0,-0.011778552,0,0
74,male,0.042460464,0.25216328,0,0,-0.009978814,0,0
75,female,0.040373611,0.29223768,0,0,-0.011568636,0,0
75,male,0.062314326,0.28091449,0,0,-0.008610038,0,0
76,female,0.040373611,0.29223768,0,0,-0.011568636,0,0
76,male,0.062314326,0.28091449,0,0,-0.008610038,0,0
77,female,0.040373611,0.29223768,0,0,-0.011568636,0,0
77,male,0.062314326,0.28091449,0,0,-0.008610038,0,0
78,female,0.040373611,0.29223768,0,0,-0.011568636,0,0
78,male,0.062314326,0.28091449,0,0,-0.008610038,0,0
79,female,0.040373611,0.29223768,0,0,-0.011568636,0,0
79,male,0.062314326,0.28091449,0,0,-0.008610038,0,0
80,female,0.063923516,0.323035,0,0,-0.011406697,0,0
80,male,0.090234209,0.31155281,0,0,-0.007914079,0,0
81,female,0.063923516,0.323035,0,0,-0.011406697,0,0
81,male,0.090234209,0.31155281,0,0,-0.007914079,0,0
82,female,0.063923516,0.323035,0,0,-0.011406697,0,0
82,male,0.090234209,0.31155281,0,0,-0.007914079,0,0
83,female,0.063923516,0.323035,0,0,-0.011406697,0,0
83,male,0.090234209,0.31155281,0,0,-0.007914079,0,0
84,female,0.063923516,0.323035,0,0,-0.011406697,0,0
84,male,0.090234209,0.31155281,0,0,-0.007914079,0,0
85,female,0.10494182,0.35686281,0,0,-0.0084166,0,0
85,male,0.14487338,0.34416191,0,0,-0.003827236,0,0
86,female,0.10494182,0.35686281,0,0,-0.0084166,0,0
86,male,0.14487338,0.34416191,0,0,-0.003827236,0,0
87,female,0.10494182,0.35686281,0,0,-0.0084166,0,0
87,male,0.14487338,0.34416191,0,0,-0.003827236,0,0
88,female,0.10494182,0.35686281,0,0,-0.0084166,0,0
88,male,0.14487338,0.34416191,0,0,-0.003827236,0,0
89,female,0.10494182,0.35686281,0,0,-0.0084166,0,0
89,male,0.14487338,0.34416191,0,0,-0.003827236,0,0
90,female,0.1694449,0.38854641,0,0,-0.007441011,0,0
90,male,0.21185254,0.37400785,0,0,-0.003361512,0,0
91,female,0.1694449,0.38854641,0,0,-0.007441011,0,0
91,male,0.21185254,0.37400785,0,0,-0.003361512,0,0
92,female,0.1694449,0.38854641,0,0,-0.007441011,0,0
92,male,0.21185254,0.37400785,0,0,-0.003361512,0,0
93,female,0.1694449,0.38854641,0,0,-0.007441011,0,0
93,male,0.21185254,0.37400785,0,0,-0.003361512,0,0
94,female,0.1694449,0.38854641,0,0,-0.007441011,0,0
94,male,0.21185254,0.37400785,0,0,-0.003361512,0,0
95,female,0.24800961,0.4208643,0,0,-0.004417827,0,0
95,male,0.24446873,0.407015,0,0,-0.007581072,0,0
96,female,0.24800961,0.4208643,0,0,-0.004417827,0,0
96,male,0.24446873,0.407015,0,0,-0.007581072,0,0
97,female,0.24800961,0.4208643,0,0,-0.004417827,0,0
97,male,0.24446873,0.407015,0,0,-0.007581072,0,0
98,female,0.24800961,0.4208643,0,0,-0.004417827,0,0
98,male,0.24446873,0.407015,0,0,-0.007581072,0,0
99,female,0.24800961,0.4208643,0,0,-0.004417827,0,0
99,male,0.24446873,0.407015,0,0,-0.007581072,0,0
100,female,0.24800961,0.4208643,0,0,-0.004417827,0,0
100,male,0.24446873,0.407015,0,0,-0.007581072,0,0
101,female,0.24800961,0.4208643,0,0,-0.004417827,0,0
101,male,0.24446873,0.407015,0,0,-0.007581072,0,0
102,female,0.24800961,0.4208643,0,0,-0.004417827,0,0
102,male,0.24446873,0.407015,0,0,-0.007581072,0,0
103,female,0.24800961,0.4208643,0,0,-0.004417827,0,0
103,male,0.24446873,0.407015,0,0,-0.007581072,0,0
104,female,0.24800961,0.4208643,0,0,-0.004417827,0,0
104,male,0.24446873,0.407015,0,0,-0.007581072,0,0
105,female,0.24800961,0.4208643,0,0,-0.004417827,0,0
105,male,0.24446873,0.407015,0,0,-0.007581072,0,0
106,female,0.24800961,0.4208643,0,0,-0.004417827,0,0
106,male,0.24446873,0.407015,0,0,-0.007581072,0,0
107,female,0.24800961,0.4208643,0,0,-0.004417827,0,0
107,male,0.24446873,0.407015,0,0,-0.007581072,0,0
108,female,0.24800961,0.4208643,0,0,-0.004417827,0,0
108,male,0.24446873,0.407015,0,0,-0.007581072,0,0
109,female,0.24800961,0.4208643,0,0,-0.004417827,0,0
109,male,0.24446873,0.407015,0,0,-0.007581072,0,0
